SCHOOL_ALL	Ritual	0	2	SPELL_RITUAL	Stop to rest and pray, using {x}% of your total daily movement to grant your troops +{y} to luck and morale.	MAGIC_DAMAGE_NONE	0				SPELL_TYPE_ADVENTURE	TARGET_NONE
SCHOOL_ALL	Mana Battery	24	4	SPELL_MANA_BATTERY	Use {x} mana to infuse you and your troops with magical endurance, granting {y} additional movement points for the current day only.  Consecutive casts on the same day have a diminishing effect.	MAGIC_DAMAGE_NONE	5	10	100		SPELL_TYPE_ADVENTURE	TARGET_NONE
SCHOOL_ALL	Recall	27	4	SPELL_RECALL	Returns you to the location where you started the day at.	MAGIC_DAMAGE_NONE	25				SPELL_TYPE_ADVENTURE	TARGET_NONE
SCHOOL_ALL	Wormhole	37	5	SPELL_WORMHOLE	Open up a wormhole at the target map location up to {x} units away, instantly moving you and your army to that spot.  Can only be used to travel to currently accessible locations, up to {y} times per day.	MAGIC_DAMAGE_NONE	40	8	2		SPELL_TYPE_ADVENTURE	TARGET_ADVENTURE_LOCATION
SCHOOL_ALL	Conjure Ship	102	2	SPELL_CONJURE_SHIP	Summons an existing ship to your location, or assembles a new ship out of thin air if no unoccupied ships exist on the map.	MAGIC_DAMAGE_NONE	15				SPELL_TYPE_ADVENTURE	TARGET_NONE
SCHOOL_ARCANE	Electrocute	2	2	SPELL_ELECTROCUTE	Shocks a unit with a massive surge of electricity, dealing {x} damage and stripping it of up to {z}% magic resistance for {y} rounds.	MAGIC_DAMAGE_LIGHTNING	12	20*Power	2	20	SPELL_TYPE_COMBAT	TARGET_SINGLE_ENEMY
SCHOOL_ARCANE	Nova	7	3	SPELL_NOVA	Electricity radiates from the targeted hex, dealing {x} damage to all surrounding hexes but leaving the targeted hex unaffected.	MAGIC_DAMAGE_LIGHTNING	20	15*Power			SPELL_TYPE_COMBAT	TARGET_HEX_RADIUS_1_EXCLUDE_CENTER
SCHOOL_ARCANE	Mass Slow	10	4	SPELL_MASS_SLOW	Decreases all enemy units' speed by {x} and initiative by {z}.  Lasts {y} rounds.	MAGIC_DAMAGE_NONE	18	2	Power	1	SPELL_TYPE_COMBAT	TARGET_ALL_ENEMY
SCHOOL_ARCANE	Slow	10	2	SPELL_SLOW	Decreases a target unit’s speed by {x} and initiative by {z}.  Lasts {y} rounds.	MAGIC_DAMAGE_NONE	9	2	Power	1	SPELL_TYPE_COMBAT	TARGET_SINGLE_ENEMY
SCHOOL_ARCANE	Time Dilation	19	5	SPELL_TIME_DILATION	Warps the fabric of spacetime on the battlefield, causing all friendly units to have +{x} to speed and initiative, and all enemy units to have -{z} to speed and initiative.  Lasts {y} rounds.	MAGIC_DAMAGE_NONE	50	2	3	1	SPELL_TYPE_COMBAT	TARGET_ALL_UNITS
SCHOOL_ARCANE	Hydra	20	4	SPELL_HYDRA	Conjures a fiery hydra at the target location, which shoots fire at the closest enemy unit once per round dealing {x} damage.  Units passing through the hydra take {y} damage.  Lasts {z} rounds.	MAGIC_DAMAGE_FIRE	20	25*Power	30*Power	3	SPELL_TYPE_COMBAT	TARGET_2_HEX_LEFT_RIGHT
SCHOOL_ARCANE	Mana Shield	22	2	SPELL_MANA_SHIELD	Reduces damage to the target friendly unit by {x}% for {y} rounds, draining the conqueror’s mana by 1 point per {z} damage points blocked.	MAGIC_DAMAGE_NONE	1	80	3	10*Power	SPELL_TYPE_COMBAT	TARGET_SINGLE_ALLY
