Coventina	0	HERO_KNIGHT	Coventina, a knight from a noble military family and twin of Diera, faced a turning point when raiders killed their parents. Driven by vengeance, she rose through the kingdom's knightly ranks. Her relentless pursuit led her to avenge her parents' killers, solidifying her role as a guardian of the realm and justice, alongside her sister Diera.	SPECIALTY_HOLY_MAGIC	1,2,1,2	SKILL_HOLY_MAGIC, SKILL_LEADERSHIP	SPELL_BLESS	TALENT_HOLY_WARD	UNIT_INFANTRYMAN, 7, 10; UNIT_ARCHER, 2, 5	Female	Human	HERO_CLASS_APPEARANCE_KNIGHT	HERO_BODY_HUMAN_F	HERO_FACE_APPEARANCE_F_1	HERO_EYES_BLUEGREEN	HERO_BEARD_NONE				HERO_HAIR_H_F_3	HERO_HAIR_COLOR_BROWN
Diera	1	HERO_KNIGHT	Diera is the twin sister of Coventina, born to the same noble family. She struggled to keep up with her sister's training but eventually found her strength in archery. As a knight, Diera often served as a scout and ranged fighter. She became increasingly withdrawn after their parents were killed but realized her mistake and vowed to be there for her sister.	SPECIALTY_FOOTMEN	1,3,1,1	SKILL_ARCHERY, SKILL_DEFENSE	SPELL_FORTITUDE	TALENT_PREPARATION	UNIT_FOOTMAN, 4, 7	Female	Human	HERO_CLASS_APPEARANCE_KNIGHT	HERO_BODY_HUMAN_F	HERO_FACE_APPEARANCE_F_3	HERO_EYES_GREY	HERO_BEARD_NONE				HERO_HAIR_H_F_3	HERO_HAIR_COLOR_BLACK
Kenric	2	HERO_KNIGHT	From a young age, Kenric was always taking things apart and putting them back together again. He left home to become a squire and rose quickly to knighthood through his innate engineering talents. Now known as a master of mechanical war machines, Kenric quests to build ever more destructive siege engines to prove his might.	SPECIALTY_WAR_MACHINES	2,2,1,1	SKILL_LEADERSHIP, SKILL_DEFENSE	SPELL_SHIELD	TALENT_CALL_TO_ARMS	UNIT_INFANTRYMAN, 7, 10; UNIT_ARCHER, 2, 5	Male	Human	HERO_CLASS_APPEARANCE_KNIGHT	HERO_BODY_HUMAN_M	HERO_FACE_APPEARANCE_M_4	HERO_EYES_BROWN	HERO_BEARD_1	HERO_EYEBROWS_NONE			HERO_HAIR_H_M_2	HERO_HAIR_COLOR_DARK_ORANGE
Uthae	3	HERO_KNIGHT	Uthae is a Knight born to a tribe of nomadic horsemen. He learned to ride and fight from a young age and became renowned for his skill with the bow and spear. As an adult, Uthae left his tribe to seek adventure and make a name for herself. He became a Knight and now serves the kingdom as a skilled cavalry officer.	SPECIALTY_CRUSADERS	3,1,1,1	SKILL_LEADERSHIP, SKILL_OFFENSE	SPELL_BLESS	TALENT_CRUSADE	UNIT_INFANTRYMAN, 7, 10; UNIT_ARCHER, 2, 5	Male	Human	HERO_CLASS_APPEARANCE_KNIGHT	HERO_BODY_HUMAN_M	HERO_FACE_APPEARANCE_M_2	HERO_EYES_LIGHT_RED_GLOW	HERO_BEARD_3	HERO_EYEBROWS_M_2			HERO_HAIR_H_M_3	HERO_HAIR_COLOR_BLACK_AND_WHITE
Beorn	4	HERO_KNIGHT	Beorn is a Knight who was born to a family of blacksmiths. He grew up watching his father and brothers forge weapons and armor, and became fascinated with the art of crafting. Beorn eventually left his family's shop to become a Knight, where he put his skills as a blacksmith to use by creating custom weapons and armor for himself and his comrades. He became known as the "Iron Knight" and was feared by his enemies for his impenetrable armor.	SPECIALTY_BISHOPS	2,1,2,1	SKILL_LEADERSHIP, SKILL_ARCHERY	SPELL_BLESS	TALENT_BISHOPS_BLESSING	UNIT_INFANTRYMAN, 2, 5; UNIT_BISHOP, 1, 2	Male	Human	HERO_CLASS_APPEARANCE_KNIGHT	HERO_BODY_HUMAN_M	HERO_FACE_APPEARANCE_M_3	HERO_EYES_BLACK	HERO_BEARD_3					HERO_HAIR_COLOR_BLACK
Bertric	5	HERO_KNIGHT	Bertric is a Knight who was once a bandit. He grew up on the streets and turned to a life of crime to survive. One day, he was caught stealing from a Knight and was given a choice: serve as a squire and learn to fight or be hanged. Bertric chose to become a squire and eventually turned his life around. He became a Knight and now serves as a protector of the kingdom.	SPECIALTY_BLESS	1,1,2,2	SKILL_ARCHERY, SKILL_HOLY_MAGIC	SPELL_BLESS	TALENT_BISHOPS_BLESSING	UNIT_INFANTRYMAN, 7, 10; UNIT_ARCHER, 2, 5	Male	Human	HERO_CLASS_APPEARANCE_KNIGHT	HERO_BODY_HUMAN_M	HERO_FACE_APPEARANCE_M_4	HERO_EYES_BROWN	HERO_BEARD_NONE	HERO_EYEBROWS_M_4			HERO_HAIR_H_M_4	HERO_HAIR_COLOR_BLACK
Maxwise	6	HERO_KNIGHT	Maxwise is a Knight who was once a wandering minstrel. He traveled the land, singing songs and telling tales of adventure. One day, he witnessed a group of Knights defending a village from raiders and was inspired to become a Knight himself. Maxwise put down his lute and picked up a sword, quickly proving himself to be a skilled fighter. He now serves the kingdom as a defender of the people, always ready with a song and a smile.	SPECIALTY_GOLD	2,2,1,1	SKILL_ARCHERY, SKILL_WAR_MACHINES	SPELL_FORTITUDE	TALENT_FIEFDOM, TALENT_FORAGING, TALENT_CALL_TO_ARMS	UNIT_INFANTRYMAN, 7, 10; UNIT_ARCHER, 2, 5	Male	Human	HERO_CLASS_APPEARANCE_KNIGHT	HERO_BODY_HUMAN_M	HERO_FACE_APPEARANCE_M_2	HERO_EYES_BROWN	HERO_BEARD_NONE	HERO_EYEBROWS_M_1			HERO_HAIR_BALD	HERO_HAIR_COLOR_BALD
Cedd	7	HERO_KNIGHT	Cedd is a Knight who was born to a family of healers. He learned the art of medicine from his parents and became a skilled physician. However, Cedd also had a strong sense of justice and felt compelled to serve the kingdom as a Knight. He now serves as a healer and a defender, using his knowledge of medicine to help his fellow Knights in battle and tend to the wounded. Cedd is known as a compassionate and skilled fighter, always ready to help those in need.	SPECIALTY_ARCHERS	2,2,1,1	SKILL_ARCHERY, SKILL_WAR_MACHINES	SPELL_THORNS	TALENT_COMMANDER	UNIT_ARCHER, 9, 15	Male	Human	HERO_CLASS_APPEARANCE_KNIGHT	HERO_BODY_HUMAN_M	HERO_FACE_APPEARANCE_M_1	HERO_EYES_BROWN	HERO_BEARD_NONE	HERO_EYEBROWS_NONE				HERO_HAIR_COLOR_BALD
Seraphina	8	HERO_SORCERESS	Seraphina is a Sorceress who was born with a strong connection to the natural world. As a child, she could hear the whispers of the trees and feel the rhythm of the earth. Seraphina became a student of magic and learned to harness the power of nature to heal, protect, and defend.	SPECIALTY_NATURE_MAGIC	0,1,3,2	SKILL_LUCK,SKILL_NATURE_MAGIC	SPELL_SWIFTNESS	TALENT_REPLENISHMENT	UNIT_PIXIE, 14, 19; UNIT_DRYAD, 3, 7	Female	Human	HERO_CLASS_APPEARANCE_SORCERESS	HERO_BODY_HUMAN_F	HERO_FACE_APPEARANCE_F_5	HERO_EYES_GREEN_GLOW	HERO_BEARD_NONE				HERO_HAIR_H_F_5	HERO_HAIR_COLOR_GREEN
Elle	9	HERO_SORCERESS	Elle is a Sorceress who was orphaned at a young age. She was taken in by a group of forest-dwelling Sorceresses who taught her the ways of magic and the secrets of the forest. Elle became an expert in using illusion and stealth to hide herself and others from danger. She now uses her skills to protect the forest and its inhabitants from those who would do them harm.	SPECIALTY_PHOENIX	0,1,2,3	SKILL_LUCK,SKILL_NATURE_MAGIC	SPELL_SWIFTNESS	TALENT_SWIFT_STRIKE	UNIT_PIXIE, 14, 19; UNIT_DRYAD, 3, 7	Female	Human	HERO_CLASS_APPEARANCE_SORCERESS	HERO_BODY_HUMAN_F	HERO_FACE_APPEARANCE_F_1	HERO_EYES_ORANGE_GLOW	HERO_BEARD_NONE				HERO_HAIR_H_F_5	HERO_HAIR_COLOR_ORANGE
