113	ARTIFACT_CENTURION_WAISTBAND	SLOT_BELT	RARITY_COMMON	Centurion Waistband	The Centurion Waistband increases your Power by +1.	EFFECT_POWER_BONUS, 1;		While exploring an ancient ruined fort, you come across the remains of a centurion still wearing his armor. Searching his belt, you find a sturdy waistband that radiates strength. You take it, hoping it will empower you in future battles.	
2	ARTIFACT_CLOTH_JERKIN	SLOT_ARMOUR	RARITY_COMMON	Cloth Jerkin	The Cloth Jerkin provides +2 defense.	EFFECT_DEFENSE_BONUS, 2;		While traveling through the countryside, you come across a small village that has been ransacked by bandits. Among the debris, you find a simple cloth jerkin.  It doesn’t look like much, but it should provide some level of protection from attackers.	ARTIFACT_INVENTORY_SOUND_CLOTH1
70	ARTIFACT_FOUR_LEAF_GEMSTONE	SLOT_TRINKET	RARITY_COMMON	Four Leaf Gemstone	The Four Leaf Gemstone increases your Luck by +1 and provides +1 gems at the start of each week.	EFFECT_LUCK_BONUS, 1; EFFECT_RESOURCE_GENERATION, RESOURCE_GEMS, 1, FREQUENCY_WEEKLY	Made to resemble a four-leaf clover, no one is sure who created the Four Leaf Gemstone.	As you wander through a dense forest, you come across a clearing filled with clovers. In the center of the clearing sits a small gemstone, glowing with a soft light. As you pick it up, you feel a sense of peace and contentment wash over you. You have a suspicion that it will change your fortunes for the better.	
81	ARTIFACT_IVORYSTEEL_BRACERS	SLOT_GLOVES	RARITY_COMMON	Ivorysteel Bracers	The Ivorysteel Bracers increase Attack by +1 and Power by +1	EFFECT_ATTACK_BONUS, 1; EFFECT_POWER_BONUS, 1;		A village blacksmith shows you priceless ivorysteel saved for years. At your request, he crafts it into sturdy bracers, their ivory hue contrasting your tanned arms. You reward the smith handsomely for fulfilling your commission.	
114	ARTIFACT_KNIGHTS_GIRDLE	SLOT_BELT	RARITY_COMMON	Knight’s Girdle	The Knight’s Girdle provides +1 Defense.	EFFECT_DEFENSE_BONUS, 1;		Deep in a mossy forest, you discover the overgrown ruins of an old castle. In one crumbling room you notice a skeleton wearing a rusted breastplate. Its leather girdle, though faded, remains intact. You carefully remove it, sensing the spirit of chivalry within.	
21	ARTIFACT_LONGSWORD	SLOT_WEAPON	RARITY_COMMON	Longsword	The Longsword increases your Attack by +2.	EFFECT_ATTACK_BONUS, 2;		During your travels you stop by a blacksmith's workshop. Inside you admire his fine blades, including one longsword with a gleaming edge. Its balance and craftsmanship are superb. You trade some goods for the magnificent sword, eager to test it in combat.	
14	ARTIFACT_PLANK_SHIELD	SLOT_SHIELD	RARITY_COMMON	Plank Shield	The Plank Shield increases your defense by +2.	EFFECT_DEFENSE_BONUS, 2;		As a storm batters your ship, a crewmate sacrifices himself to save you from being washed overboard. In his honor, you craft some spare planks and canvas into a simple shield. Though plain, you will bear it nobly in remembrance.	
130	ARTIFACT_RED_LEATHER_BELT	SLOT_BELT	RARITY_COMMON	Red Leather Belt	The Red Leather Belt increases Attack by +1.	EFFECT_ATTACK_BONUS, 1;		Traveling the frontier, you stay with settlers who gift you a fine belt made from local leather. Simple but beautifully crafted, it evokes their pioneer spirit, hearty nature and sense of community.	
69	ARTIFACT_MONOCULAR	SLOT_TRINKET	RARITY_COMMON	Monocular	The Monocular increases your Scouting skill by +1.  If you do not have scouting, it increases your scouting radius by +1 and observation radius by +2.	EFFECT_SKILL_BOOST, SKILL_SCOUTING, 1;		While searching for abandoned pirate treasure on a deserted island, you come across a small, intricately crafted telescope. As you look through it, the world around you comes into sharp focus, and you can see for miles in every direction. 	
102	ARTIFACT_VOODOO_DOLL	SLOT_TRINKET	RARITY_COMMON	Voodoo Doll	The Voodoo Doll casts Curse on a random enemy unit at the start of each round, lasting 2 rounds.	EFFECT_SPELL_CAST_ON_BATTLE_START, SPELL_CURSE, 1, 2		While exploring a creepy swamp, you enter an abandoned witch's hut. Inside you find shelves lined with strange ingredients and a table holding an eerie cloth doll. As you pick it up, you feel a dark energy pulse within.	
101	ARTIFACT_HOLY_WATER	SLOT_TRINKET	RARITY_COMMON	Holy Water	Holy Water increases your damage against the undead by 25%.	EFFECT_INCREASED_DAMAGE_AGAINST_UNDEAD, 25;		A monk allows you to take a flask of water from a remote mountain spring said to have miraculous healing properties. While not a believer, its refreshing purity lifts your spirit, perhaps blessing you in its own way.	
87	ARTIFACT_WITCHFIRE_CAULDRON	SLOT_TRINKET	RARITY_COMMON	Witchfire Cauldron	The Witchfire Cauldron helps you recover up to 5% of your maximum Mana per day.	EFFECT_MANA_RECOVERY_PER_DAY, 5;		You come across an overgrown grove with a bubbling cauldron nestled amidst the trees. Peering inside, you see a green liquid roiling with fiery energy. Using a branch, you fish out the cauldron, hoping to unlock its arcane secrets.	
	ARTIFACT_HO_CHI_MINHS_GAGE	SLOT_GLOVES	RARITY_COMMON	Ho Chi Minh’s Gage				While exploring the dense jungles of a distant land, you come across a shimmering pair of white steel gauntlets hanging from a tree branch. They radiate an aura of courage and conviction. The initials H.C.M. are engraved inside.	
68	ARTIFACT_CRYSTAL_BALL	SLOT_TRINKET	RARITY_EXCEPTIONAL	Crystal Ball	The Crystal Ball reveals all information about enemies and objects within your observation radius.	EFFECT_CRYSTAL_BALL_REVEAL	“The Crystal Ball Reveals All.”	While exploring a mysterious cave, you come across a small pool of water. As you look into the water, you see a vision of the future. A voice whispers to you, telling you of great dangers and amazing opportunities that lie ahead.  As you are about to leave, you notice the reflection of what appears to be a glass object at the bottom of the pool.  On a whim, you decide to dive to the bottom, and find a mysterious crystal ball.  You add it to your backpack on the chance that it might reveal other things to you in the future.	
32	ARTIFACT_CUIRASS_OF_THE_ARCHMAGE	SLOT_ARMOUR	RARITY_EXCEPTIONAL	Cuirass of the Archmage	The Cuirass of the Archmage increases your Power by +4, Knowledge by +4, and increases your Sorcery skill by +1.	EFFECT_POWER_BONUS, 4; EFFECT_KNOWLEDGE_BONUS, 4; EFFECT_SKILL_BOOST, SKILL_SORCERY, 1;		Searching through piles of treasure in a conquered sorcerer's lair, you discover a shining breastplate made of purple steel. It thrums with magical power in your hands. This cuirass must have belonged to a powerful archmage of old. You claim it as your own.	
26	ARTIFACT_DIADEM_OF_THE_ARCHMAGE	SLOT_HELM	RARITY_EXCEPTIONAL	Diadem of the Archmage	The Diadem of the Archmage increases your Power by +4, Knowledge by +4, and increases your Sorcery skill by +1.	EFFECT_POWER_BONUS, 4; EFFECT_KNOWLEDGE_BONUS, 4; EFFECT_SKILL_BOOST, SKILL_SORCERY, 1;		Searching a deserted wizard's sanctum, you come upon a bejeweled diadem. Donning it, arcane energy flows into your body. Looking in a mirror, your eyes now shine with eldritch light.	
