BUFF_FLYER	200		BUFF_TYPE_INHERENT	Flyer	Can fly over obstacles on the battlefield.
BUFF_SHOOTER	201		BUFF_TYPE_INHERENT	Shooter	Can shoot at range.
BUFF_SHOOTS_ARROWS			BUFF_TYPE_INHERENT	Arrow Shooter	Shoots arrows.
BUFF_UNDEAD			BUFF_TYPE_INHERENT	Undead	Immune to mind influencing spells; neutral morale.
BUFF_ANIMATED			BUFF_TYPE_INHERENT	Automaton	Immune to mind influencing spells; unliving.
BUFF_SUMMONED			BUFF_TYPE_INHERENT	Summoned	Disappears at the end of combat.
BUFF_NO_MELEE_PENALTY			BUFF_TYPE_INHERENT	No Melee Penalty	Performs melee attacks at full damage.
BUFF_SHOOTS_TWICE			BUFF_TYPE_INHERENT	Shoots Twice	Performs two ranged attacks.
BUFF_UNLIMITED_SHOTS			BUFF_TYPE_INHERENT	Unlimited Shots	Never runs out of ammo.
BUFF_NO_ENEMY_RETALIATION			BUFF_TYPE_INHERENT	Untouchable	Enemies cannot retaliate against this creature’s attacks.
BUFF_MULTIPLE_RETAILIATIONS			BUFF_TYPE_INHERENT	Counter Strike	Can retaliate {x} additional times per round.
BUFF_UNLIMITED_RETALIATIONS			BUFF_TYPE_INHERENT	Unlimited Retaliations	Can retaliate an unlimited number of times.
BUFF_ATTACK_ALL_ADJACENT_UNITS			BUFF_TYPE_INHERENT	Multi Headed	Attacks all adjacent units.
BUFF_THREE_HEADED_ATTACK			BUFF_TYPE_INHERENT	Three Headed	Attacks up to 3 units directly in front of it.
BUFF_DOUBLE_ATTACK			BUFF_TYPE_INHERENT	Double Strike	Attacks twice.
BUFF_LICH_DEATH_CLOUD_ATTACK			BUFF_TYPE_INHERENT	Death Cloud	Ranged attacks also deal damage to all surrounding living units.
BUFF_MAGOG_FIREBALL_ATTACK			BUFF_TYPE_INHERENT	Fireball Attack	Ranged attacks also deal fire damage to all surrounding units.
BUFF_STRIKE_AND_RETURN			BUFF_TYPE_INHERENT	Strike and Return	Attacks, then returns to its starting position.
BUFF_REDUCED_DAMAGE_FROM_ARROWS			BUFF_TYPE_INHERENT	Porous	Takes {x}% less damage from arrows.
